Record_ID,Chamber_ID,Chamber_Name,Region,Wheel_Disk,Station_Ring,Sector,Position,DPID_Change_Date_FROM,DPID_Change_Date_TO,HV DPID,GAS DPID1,GAS DPID2,Roll_ID1,Roll_ID2,Roll_ID3,TEMPERATURE_ID,FOS_ID
1,447821,W0/S01/RB1in,Barrel,0,1,1,in,07-MAR-09 04.28.47.501000000 PM,,3033,16310,,,,,9521,
2,447822,W0/S01/RB1out,Barrel,0,1,1,out,07-MAR-09 04.28.47.501000000 PM,,6409,16310,,,,,9522,
3,447823,W0/S01/RB2in,Barrel,0,2,1,in,07-MAR-09 04.28.47.501000000 PM,,6411,16311,,,,,9520,
4,447824,W0/S01/RB2out,Barrel,0,2,1,out,07-MAR-09 04.28.47.501000000 PM,,6413,16311,,,,,9520,
5,447825,W0/S01/RB3-,Barrel,0,3,1,-,07-MAR-09 04.28.47.501000000 PM,,6415,16312,,,,,9519,
6,447826,W0/S01/RB3+,Barrel,0,3,1,+,07-MAR-09 04.28.47.501000000 PM,,6418,16312,,,,,9519,
7,447827,W0/S01/RB4-,Barrel,0,4,1,-,07-MAR-09 04.28.47.501000000 PM,,6421,16313,,,,,9518,
8,447828,W0/S01/RB4+,Barrel,0,4,1,+,07-MAR-09 04.28.47.501000000 PM,,6423,16313,,,,,9518,
9,447829,W0/S02/RB1in,Barrel,0,1,2,in,07-MAR-09 04.28.47.501000000 PM,,6425,16314,,,,,9526,
10,447830,W0/S02/RB1out,Barrel,0,1,2,out,07-MAR-09 04.28.47.501000000 PM,,6427,16314,,,,,9527,
11,447831,W0/S02/RB2in,Barrel,0,2,2,in,07-MAR-09 04.28.47.501000000 PM,,6429,16315,,,,,9525,
12,447832,W0/S02/RB2out,Barrel,0,2,2,out,07-MAR-09 04.28.47.501000000 PM,,6431,16315,,,,,9525,
13,447833,W0/S02/RB3-,Barrel,0,3,2,-,07-MAR-09 04.28.47.501000000 PM,,6433,16316,,,,,9524,
14,447834,W0/S02/RB3+,Barrel,0,3,2,+,07-MAR-09 04.28.47.501000000 PM,,6435,16316,,,,,9524,
15,447835,W0/S02/RB4-,Barrel,0,4,2,-,07-MAR-09 04.28.47.501000000 PM,,6437,16317,,,,,9523,
16,447836,W0/S02/RB4+,Barrel,0,4,2,+,07-MAR-09 04.28.47.501000000 PM,,6439,16317,,,,,9523,
17,447837,W0/S03/RB1in,Barrel,0,1,3,in,07-MAR-09 04.28.47.501000000 PM,,6441,16318,,,,,9531,
18,447838,W0/S03/RB1out,Barrel,0,1,3,out,07-MAR-09 04.28.47.501000000 PM,,6443,16318,,,,,9532,
19,447839,W0/S03/RB2in,Barrel,0,2,3,in,07-MAR-09 04.28.47.501000000 PM,,6445,16319,,,,,9530,
20,447840,W0/S03/RB2out,Barrel,0,2,3,out,07-MAR-09 04.28.47.501000000 PM,,6447,16319,,,,,9530,
21,447841,W0/S03/RB3-,Barrel,0,3,3,-,07-MAR-09 04.28.47.501000000 PM,,6449,16320,,,,,9529,
22,447842,W0/S03/RB3+,Barrel,0,3,3,+,07-MAR-09 04.28.47.501000000 PM,,6451,16320,,,,,9529,
23,447843,W0/S03/RB4-,Barrel,0,4,3,-,07-MAR-09 04.28.47.501000000 PM,,6453,16321,,,,,9528,
24,447844,W0/S03/RB4+,Barrel,0,4,3,+,07-MAR-09 04.28.47.501000000 PM,,6455,16321,,,,,9528,
25,447845,W0/S04/RB1in,Barrel,0,1,4,in,07-MAR-09 04.28.47.501000000 PM,,6457,16322,,,,,9663,
26,447846,W0/S04/RB1out,Barrel,0,1,4,out,07-MAR-09 04.28.47.501000000 PM,,6459,16322,,,,,9664,
27,447847,W0/S04/RB2in,Barrel,0,2,4,in,07-MAR-09 04.28.47.501000000 PM,,6461,16323,,,,,9662,
28,447848,W0/S04/RB2out,Barrel,0,2,4,out,07-MAR-09 04.28.47.501000000 PM,,6463,16323,,,,,9662,
29,447849,W0/S04/RB3-,Barrel,0,3,4,-,07-MAR-09 04.28.47.501000000 PM,,6465,16324,,,,,9661,
30,447850,W0/S04/RB3+,Barrel,0,3,4,+,07-MAR-09 04.28.47.501000000 PM,,6467,16324,,,,,9661,
31,447852,W0/S04/RB4-,Barrel,0,4,4,-,07-MAR-09 04.28.47.501000000 PM,,6471,16325,,,,,9659,
32,447851,W0/S04/RB4--,Barrel,0,4,4,--,07-MAR-09 04.28.47.501000000 PM,,6469,16325,,,,,9659,
33,447853,W0/S04/RB4+,Barrel,0,4,4,+,07-MAR-09 04.28.47.501000000 PM,,6473,16326,,,,,9660,
34,447854,W0/S04/RB4++,Barrel,0,4,4,++,07-MAR-09 04.28.47.501000000 PM,,6475,16326,,,,,9660,
35,447855,W0/S05/RB1in,Barrel,0,1,5,in,07-MAR-09 04.28.47.501000000 PM,,6477,16327,,,,,9668,
36,447856,W0/S05/RB1out,Barrel,0,1,5,out,07-MAR-09 04.28.47.501000000 PM,,6479,16327,,,,,9669,
37,447857,W0/S05/RB2in,Barrel,0,2,5,in,07-MAR-09 04.28.47.501000000 PM,,6481,16328,,,,,9667,
38,447858,W0/S05/RB2out,Barrel,0,2,5,out,07-MAR-09 04.28.47.501000000 PM,,6483,16328,,,,,9667,
39,447859,W0/S05/RB3-,Barrel,0,3,5,-,07-MAR-09 04.28.47.501000000 PM,,6485,16329,,,,,9666,
40,447860,W0/S05/RB3+,Barrel,0,3,5,+,07-MAR-09 04.28.47.501000000 PM,,6487,16329,,,,,9666,
41,447861,W0/S05/RB4-,Barrel,0,4,5,-,07-MAR-09 04.28.47.501000000 PM,,6489,16330,,,,,9665,
42,447862,W0/S05/RB4+,Barrel,0,4,5,+,07-MAR-09 04.28.47.501000000 PM,,6491,16330,,,,,9665,
43,447863,W0/S06/RB1in,Barrel,0,1,6,in,07-MAR-09 04.28.47.501000000 PM,,6493,16331,,,,,9673,
44,447864,W0/S06/RB1out,Barrel,0,1,6,out,07-MAR-09 04.28.47.501000000 PM,,6495,16331,,,,,9674,
45,447865,W0/S06/RB2in,Barrel,0,2,6,in,07-MAR-09 04.28.47.501000000 PM,,6497,16332,,,,,9672,
46,447866,W0/S06/RB2out,Barrel,0,2,6,out,07-MAR-09 04.28.47.501000000 PM,,6499,16332,,,,,9672,
47,447867,W0/S06/RB3-,Barrel,0,3,6,-,07-MAR-09 04.28.47.501000000 PM,,6501,16333,,,,,9671,
48,447868,W0/S06/RB3+,Barrel,0,3,6,+,07-MAR-09 04.28.47.501000000 PM,,6503,16333,,,,,9671,
